,ecosystemName,primaryTag,amount
256,toronto,ai,3186345507
282,toronto,fintech,2920250692
99,british columbia,saas,2695116195
66,british columbia,fintech,2654310409
358,waterloo region,marketplace,1845077160
317,toronto,saas,1661871999
272,toronto,cybersecurity,1400060550
51,british columbia,cleantech,1392216360
310,toronto,platform,1183897787
49,british columbia,biotech,1142405435
50,british columbia,blockchain,1136604125
18,alberta,fintech,1105992650
218,quebec,healthtech,1047807039
288,toronto,healthtech,1007446980
248,quebec,traveltech,750350000
196,quebec,biotech,743462518
264,toronto,biotech,718375092
206,quebec,edtech,631203176
198,quebec,cleantech,620841391
242,quebec,saas,592767757
186,ottawa,saas,592232679
192,quebec,ai,571427130
212,quebec,fintech,548106048
217,quebec,hardware,463228269
296,toronto,marketplace,443313239
277,toronto,edtech,442267538
366,waterloo region,saas,422651297
227,quebec,marketplace,416808436
344,waterloo region,edtech,405018280
73,british columbia,healthtech,394914985
311,toronto,propertytech,393667025
286,toronto,greentech,375656450
259,toronto,autotech,374049000
45,british columbia,ai,360237185
202,quebec,cybersecurity,357420520
287,toronto,hardware,352909739
8,alberta,cleantech,348431505
289,toronto,hrtech,324289050
334,waterloo region,ai,310915841
268,toronto,cleantech,301880558
205,quebec,ecommerce,301486375
44,british columbia,agtech,294580610
72,british columbia,hardware,292324000
294,toronto,logisticstech,286093750
36,alberta,saas,267289399
253,toronto,adtech,247832003
46,british columbia,analytics,217810950
276,toronto,ecommerce,214869015
241,quebec,robotics,208200000
37,alberta,software development,205267925
132,other,biotech,204180002
149,other,marketplace,204020991
35,alberta,robotics,202116789
83,british columbia,marketplace,193582755
193,quebec,analytics,192866668
125,east coast,saas,184350216
365,waterloo region,robotics,181110140
94,british columbia,propertytech,172370251
155,other,saas,165474031
60,british columbia,ecommerce,160775500
335,waterloo region,analytics,159135000
112,east coast,cleantech,155934800
84,british columbia,martech,147538800
321,toronto,software development,136009026
265,toronto,blockchain,124408856
165,ottawa,analytics,123780120
176,ottawa,fintech,119367443
216,quebec,greentech,112800000
257,toronto,analytics,105261925
191,quebec,agtech,103200000
4,alberta,analytics,100907019
133,other,cleantech,100000000
171,ottawa,cybersecurity,98877293
237,quebec,platform,91250852
56,british columbia,cybersecurity,90786833
197,quebec,blockchain,89500000
339,waterloo region,cybersecurity,86530300
48,british columbia,autotech,80378250
337,waterloo region,blockchain,75789346
23,alberta,healthtech,74438038
336,waterloo region,biotech,66696183
138,other,fintech,63189000
174,ottawa,ecommerce,58509750
136,other,ecommerce,57000000
129,other,agtech,52749500
142,other,healthtech,50748019
98,british columbia,robotics,49150000
238,quebec,propertytech,47061243
255,toronto,agtech,46122479
109,east coast,analytics,43245000
61,british columbia,edtech,41559656
118,east coast,healthtech,39695000
352,waterloo region,healthtech,39428523
93,british columbia,platform,37765000
350,waterloo region,hardware,37750000
228,quebec,martech,37456000
297,toronto,martech,37099278
185,ottawa,propertytech,33850000
244,quebec,software development,31250000
181,ottawa,martech,31000000
2,alberta,agtech,29306000
16,alberta,edtech,28500000
159,other,traveltech,28400000
168,ottawa,biotech,23992208
3,alberta,ai,23650000
180,ottawa,marketplace,23000000
356,waterloo region,logisticstech,22524375
24,alberta,hrtech,21750000
107,east coast,agtech,20920000
333,waterloo region,agtech,20827317
117,east coast,hardware,20300000
346,waterloo region,fintech,19349807
353,waterloo region,hrtech,19153926
190,quebec,adtech,17912360
74,british columbia,hrtech,17300000
113,east coast,cybersecurity,16984480
187,ottawa,software development,15966300
104,british columbia,traveltech,14000000
29,alberta,marketplace,13287600
326,toronto,traveltech,12293200
15,alberta,ecommerce,10725000
33,alberta,propertytech,10450000
367,waterloo region,software development,9800000
111,east coast,biotech,9129681
32,alberta,platform,8929400
108,east coast,ai,8000000
114,east coast,fintech,7916000
316,toronto,robotics,7788763
7,alberta,biotech,7429681
169,ottawa,cleantech,7120000
338,waterloo region,cleantech,6755000
130,other,ai,5790000
179,ottawa,logisticstech,5000000
119,east coast,hrtech,4964273
1,alberta,adtech,4810121
116,east coast,greentech,4000000
22,alberta,hardware,3900000
219,quebec,hrtech,3816298
122,east coast,marketplace,3780000
163,ottawa,agtech,3000000
137,other,edtech,3000000
131,other,analytics,2857272
141,other,hardware,2798263
225,quebec,logisticstech,2226792
178,ottawa,healthtech,2197052
162,ottawa,adtech,1915740
126,east coast,software development,1875000
154,other,robotics,1700000
41,british columbia,adtech,1535000
146,other,logisticstech,1375000
164,ottawa,ai,1329400
175,ottawa,edtech,1250000
12,alberta,cybersecurity,1000000
153,other,platform,770000
195,quebec,autotech,485000
343,waterloo region,ecommerce,450000
81,british columbia,logisticstech,125000
184,ottawa,platform,125000
331,waterloo region,adtech,120000
21,alberta,greentech,50000
369,waterloo region,traveltech,50000
359,waterloo region,martech,40650
102,british columbia,software development,0
177,ottawa,hardware,0
39,alberta,traveltech,0
